Player Id,Position,Name,Country,Club,Rating,Value
25,DEF,Sandesh Jhingan,India,Bengaluru FC,6.5,8
26,DEF,Odei Onaindia,Spain,Hyderabad FC,6.55,8
27,DEF,Lalchungnunga,India,East Bengal FC,6.02,7
28,DEF,Brendan Hamill,Australia,ATK Mohun Bagan,6.38,7.5
29,DEF,Anwar Ali,India,FC Goa,6.6,8
30,DEF,Mourtada Fall,Senegal,Mumbai City FC,6.25,7.5
31,DEF,Mehtab Singh,India,Mumbai City FC,6.8,8.5
32,DEF,Carlos Delgado,Spain,Odisha FC,6.19,7
33,DEF,Pratik Chaudhari,India,Jamshedpur FC,6.08,7
34,DEF,Aaron Evans,Australia,NorthEast United FC,5.81,6.5
35,GK,Gurpreet S.,India,Bengaluru FC,7.04,8.5
36,GK,V.Kaith,India,ATK Mohun Bagan,7.45,9.5
37,GK,P.Lachenpa,India,Mumbai City FC,7.19,9
38,GK,M.Michu,India,NorthEast United FC,6.67,6.5
39,GK,Amrinder S.,India,Odisha FC,6.37,7
40,GK,Kamaljit S.,India,East Bengal FC,6.57,6.5
41,GK,Gurmeet S.,India,Hyderabad FC,7.35,9
42,GK,PS.Gill,India,Kerala Blasters FC,6.43,8
43,GK,Dheeraj M.,India,FC Goa,6.31,7.5
44,GK,Arindam B.,India,NorthEast United FC,5.92,6
